   text	   data	    bss	    dec	    hex	filename
    380	      0	      0	    380	    17c	../../..//mediatek/platform/mt6577/uboot/addr_trans.o
   6488	      8	   4768	  11264	   2c00	../../..//mediatek/platform/mt6577/uboot/bmt.o
    296	      0	      4	    300	    12c	../../..//mediatek/platform/mt6577/uboot/boot_mode.o
     80	      0	      0	     80	     50	../../..//mediatek/platform/mt6577/uboot/disp_assert_layer.o
   2410	     44	      0	   2454	    996	../../..//mediatek/platform/mt6577/uboot/disp_drv_dbi.o
   3817	     52	     28	   3897	    f39	../../..//mediatek/platform/mt6577/uboot/disp_drv_dpi.o
   6657	     44	     32	   6733	   1a4d	../../..//mediatek/platform/mt6577/uboot/disp_drv_dsi.o
  15283	    116	    816	  16215	   3f57	../../..//mediatek/platform/mt6577/uboot/disp_drv.o
   2319	      0	    192	   2511	    9cf	../../..//mediatek/platform/mt6577/uboot/dpi_drv.o
   9880	      1	    816	  10697	   29c9	../../..//mediatek/platform/mt6577/uboot/dsi_drv.o
    781	      0	      0	    781	    30d	../../..//mediatek/platform/mt6577/uboot/irq.o
  19659	      4	   4076	  23739	   5cbb	../../..//mediatek/platform/mt6577/uboot/lcd_drv.o
   6061	      0	     28	   6089	   17c9	../../..//mediatek/platform/mt6577/uboot/load_image.o
     48	      0	      0	     48	     30	../../..//mediatek/platform/mt6577/uboot/lowlevel_init.o
  15592	      0	   3124	  18716	   491c	../../..//mediatek/platform/mt6577/uboot/mmc_core.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6577/uboot/mmc_test.o
  11736	      0	    232	  11968	   2ec0	../../..//mediatek/platform/mt6577/uboot/msdc.o
    220	      0	      0	    220	     dc	../../..//mediatek/platform/mt6577/uboot/msdc_utils.o
  13012	    188	    592	  13792	   35e0	../../..//mediatek/platform/mt6577/uboot/mt6577_bat.o
    981	      0	      0	    981	    3d5	../../..//mediatek/platform/mt6577/uboot/mt6577_board.o
    434	      0	      0	    434	    1b2	../../..//mediatek/platform/mt6577/uboot/mt6577_factory.o
    356	    224	     32	    612	    264	../../..//mediatek/platform/mt6577/uboot/mt6577_gpio_init.o
   6075	      4	      0	   6079	   17bf	../../..//mediatek/platform/mt6577/uboot/mt6577_gpio.o
   1695	      0	      0	   1695	    69f	../../..//mediatek/platform/mt6577/uboot/mt6577_i2c.o
   1246	      0	      0	   1246	    4de	../../..//mediatek/platform/mt6577/uboot/mt6577_meta.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6577/uboot/mt6577_nand.o
    616	      0	     24	    640	    280	../../..//mediatek/platform/mt6577/uboot/mt6577.o
    264	      0	      0	    264	    108	../../..//mediatek/platform/mt6577/uboot/mt6577_pll.o
  24492	      4	     12	  24508	   5fbc	../../..//mediatek/platform/mt6577/uboot/mt6577_pmic6329.o
   4734	     28	      8	   4770	   12a2	../../..//mediatek/platform/mt6577/uboot/mt6577_pwm.o
    541	      0	      0	    541	    21d	../../..//mediatek/platform/mt6577/uboot/mt6577_recovery.o
   1287	      0	      0	   1287	    507	../../..//mediatek/platform/mt6577/uboot/mt6577_rtc.o
   2671	      0	      0	   2671	    a6f	../../..//mediatek/platform/mt6577/uboot/mt6577_sleep.o
   2595	      0	    156	   2751	    abf	../../..//mediatek/platform/mt6577/uboot/mt65xx_disp_drv.o
   2050	     28	      8	   2086	    826	../../..//mediatek/platform/mt6577/uboot/mt65xx_leds.o
   5914	     80	  16060	  22054	   5626	../../..//mediatek/platform/mt6577/uboot/mt65xx_logo.o
   2262	      0	   3544	   5806	   16ae	../../..//mediatek/platform/mt6577/uboot/mt65xx_partition.o
    811	      0	      0	    811	    32b	../../..//mediatek/platform/mt6577/uboot/mtk_auxadc.o
    361	      0	      0	    361	    169	../../..//mediatek/platform/mt6577/uboot/mtk_key.o
   1273	      0	      8	   1281	    501	../../..//mediatek/platform/mt6577/uboot/mtk_serial.o
    832	      0	      8	    840	    348	../../..//mediatek/platform/mt6577/uboot/mtk_timer.o
    543	      0	      4	    547	    223	../../..//mediatek/platform/mt6577/uboot/mtk_wdt.o
   3668	      0	   9316	  12984	   32b8	../../..//mediatek/platform/mt6577/uboot/partition_mt.o
